n,d,k,t,i,m,flag,objVal1,gap1,elapsedTime1,objVal2,gap2,elapsedTime2,totalElapsedTime,nSolution,sumPenalty,sumEdgeCost,objVal2*totalElapsedTime,nSolution/n,sumPenalty/objVal2,sumEdgeCost/objVal2
200,0.5,0,1,1,0,0,-0.0833333,0,151897532,1e+100,1e+100,60322424239,60474321771,0,2741,0,6.04743e+110,0,2.741e-97,0
200,0.5,0,1,2,0,0,3.55271e-15,0,152846536,1e+100,1e+100,60297365673,60450212209,0,2831,0,6.04502e+110,0,2.831e-97,0
200,0.5,10,0,0,0,1,-24.2254,0,98677409,1857,0,52498028,151175437,31,1270,587,2.80733e+11,0.155,0.683899,0.316101
200,0.5,10,0,1,0,1,-23.8909,0,95355971,1844,0,22978743,118334714,34,1226,618,2.18209e+11,0.17,0.664859,0.335141
200,0.5,10,0,2,0,1,-23.3021,0,97414295,1913,0,227249980,324664275,35,1260,653,6.21083e+11,0.175,0.658651,0.341349
200,0.5,10,1,0,0,1,-15.3802,6.50127e-05,98321933,3021,0,43672220,141994153,33,2413,608,4.28964e+11,0.165,0.798742,0.201258
200,0.5,10,1,1,0,1,-16.701,0,102745220,2836,0,98485730,201230950,37,2193,643,5.70691e+11,0.185,0.773272,0.226728
200,0.5,10,1,2,0,1,-15.6925,0,106687377,2917,0,269231157,375918534,36,2282,635,1.09655e+12,0.18,0.782311,0.217689
200,0.5,20,0,0,0,1,-27.3846,0,105053349,1779,0,5953497,111006846,10,1434,345,1.97481e+11,0.05,0.806071,0.193929
200,0.5,20,0,1,0,1,-26.0153,0,445038711,1843,0,8006951,453045662,12,1451,392,8.34963e+11,0.06,0.787303,0.212697
200,0.5,20,0,2,0,1,-27.0956,0,136671388,1807,0,8489465,145160853,11,1435,372,2.62306e+11,0.055,0.794134,0.205866
200,0.5,20,1,0,0,1,-16.0688,0,106710301,3200,0,8324603,115034904,11,2834,366,3.68112e+11,0.055,0.885625,0.114375
200,0.5,20,1,1,0,1,-16.5572,5.98271e-05,120256802,3117,0,7666051,127922853,11,2739,378,3.98736e+11,0.055,0.87873,0.12127
200,0.5,20,1,2,0,1,-16.1496,0,103576979,3107,0,10206010,113782989,12,2715,392,3.53524e+11,0.06,0.873833,0.126167
200,0.7,0,0,0,0,0,2.84217e-14,0,156280334,1e+100,1e+100,60314426074,60470706408,0,1532,0,6.04707e+110,0,1.532e-97,0
200,0.7,0,0,1,0,0,-0.125,0,151353812,1e+100,1e+100,60335163761,60486517573,0,1504,0,6.04865e+110,0,1.504e-97,0
200,0.7,0,0,2,0,0,7.10543e-15,0,149987986,1e+100,1e+100,60230224831,60380212817,0,1619,0,6.03802e+110,0,1.619e-97,0
200,0.7,0,1,0,0,0,-0.333333,0,155570580,1e+100,1e+100,60252185927,60407756507,0,2930,0,6.04078e+110,0,2.93e-97,0
200,0.7,0,1,1,0,0,2.30926e-14,0,148555551,1e+100,1e+100,60268110571,60416666122,0,3086,0,6.04167e+110,0,3.086e-97,0
200,0.7,0,1,2,0,0,-0.114379,0,157359203,1e+100,1e+100,60348549225,60505908428,0,3168,0,6.05059e+110,0,3.168e-97,0
200,0.7,10,0,0,0,1,-24.5337,0,103279599,1888,0,35532414,138812013,33,1270,618,2.62077e+11,0.165,0.672669,0.327331
200,0.7,10,0,1,0,1,-22.5058,0,101318703,1868,0,44212254,145530957,35,1267,601,2.71852e+11,0.175,0.678266,0.321734
200,0.7,10,0,2,0,1,-24.6179,0,104965692,1789,0,157418327,262384019,36,1159,630,4.69405e+11,0.18,0.647848,0.352152
200,0.7,10,1,0,0,1,-13.606,0,105150796,2998,0,79347026,184497822,33,2411,587,5.53124e+11,0.165,0.804203,0.195797
200,0.7,10,1,1,0,1,-13.6553,0,105770730,3095,0,113085555,218856285,34,2467,628,6.7736e+11,0.17,0.797092,0.202908
200,0.7,10,1,2,0,1,-13.8117,0,110255608,3080,0,52186735,162442343,34,2480,600,5.00322e+11,0.17,0.805195,0.194805
200,0.7,20,0,0,0,1,-26.5128,0,109689672,1763,0,6916271,116605943,11,1403,360,2.05576e+11,0.055,0.795803,0.204197
200,0.7,20,0,1,0,1,-26.8233,0,176691093,1835,0,9879284,186570377,12,1407,428,3.42357e+11,0.06,0.766757,0.233243
200,0.7,20,0,2,0,1,-26.1089,9.96958e-05,176779221,1883,0,11341865,188121086,12,1456,427,3.54232e+11,0.06,0.773234,0.226766
200,0.7,20,1,0,0,1,-16.4312,0,157844292,3101,0,7199375,165043667,11,2735,366,5.118e+11,0.055,0.881974,0.118026
200,0.7,20,1,1,0,1,-15.3678,6.42997e-05,131169971,3211,0,9115713,140285684,11,2849,362,4.50457e+11,0.055,0.887263,0.112737
200,0.7,20,1,2,0,1,-14.2499,0,360366741,3237,0,7390232,367756973,12,2835,402,1.19043e+12,0.06,0.875811,0.124189
